id,mereni,zaznam,udaj,hodnota_metadata,nalezeno_v_textu,odkaz_zaznamu,odkaz_originalu,navrh_verdiktu,zduvodneni,potvrzeno
V035,P1,37649321,ico_subjekt,00844896,—,https://smlouvy.gov.cz/smlouva/37649321,https://smlouvy.gov.cz/smlouva/soubor/45519413/Objedn%C3%A1vka.docx,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V036,P1,37890549,ico_subjekt,00843989,—,https://smlouvy.gov.cz/smlouva/37890549,https://smlouvy.gov.cz/smlouva/soubor/45796929/Potvrzenka_9724946324-26.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V037,P1,38025225,ico_subjekt,00160105,—,https://smlouvy.gov.cz/smlouva/38025225,https://smlouvy.gov.cz/smlouva/soubor/45949981/2026-05-06-260342-26-TS-U%20Obj_Kratochvil%20company%2801Anonymiz%29.docx,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V038,P1,38722984,ico_subjekt,05421888,—,https://smlouvy.gov.cz/smlouva/38722984,https://smlouvy.gov.cz/smlouva/soubor/46749812/Objedn%C3%A1vka%20reagencie%20125-2026%20anon..docx,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V039,P1,38871970,ico_subjekt,27283933,—,https://smlouvy.gov.cz/smlouva/38871970,https://smlouvy.gov.cz/smlouva/soubor/46918682/%5BA%5D%20KGA087353.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V040,P1,38896230,ico_subjekt,27283933,—,https://smlouvy.gov.cz/smlouva/38896230,https://smlouvy.gov.cz/smlouva/soubor/46945574/%5BA%5D%20RVNC26008704.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V041,P1,39100174,ico_subjekt,00843989,—,https://smlouvy.gov.cz/smlouva/39100174,https://smlouvy.gov.cz/smlouva/soubor/47175514/Potvrzenka_30228817-26.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V042,P3,35616733,rocni_hodnota (P3),bez DPH 88560; s DPH –,–,https://smlouvy.gov.cz/smlouva/35616733,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,opakované plnění bez údaje o periodě a délce,přijato automaticky jako kategorie (D-031)
V043,P3,35642065,rocni_hodnota (P3),bez DPH 68650; s DPH –,–,https://smlouvy.gov.cz/smlouva/35642065,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,opakované plnění bez údaje o periodě a délce,přijato automaticky jako kategorie (D-031)
V044,P3,36084501,rocni_hodnota (P3),bez DPH 100000; s DPH 100000,–,https://smlouvy.gov.cz/smlouva/36084501,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,víceletá smlouva s cenou bez výslovné vazby na dobu trvání,přijato automaticky jako kategorie (D-031)
V045,P3,37149673,rocni_hodnota (P3),bez DPH –; s DPH –,–,https://smlouvy.gov.cz/smlouva/37149673,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,víceletá smlouva s cenou bez výslovné vazby na dobu trvání,přijato automaticky jako kategorie (D-031)
V046,P3,37267185,rocni_hodnota (P3),bez DPH 234000; s DPH –,–,https://smlouvy.gov.cz/smlouva/37267185,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,víceletá smlouva s cenou bez výslovné vazby na dobu trvání,přijato automaticky jako kategorie (D-031)
V047,P3,37301857,rocni_hodnota (P3),bez DPH 3369912; s DPH –,"rocni: 1668264, 1701648",https://smlouvy.gov.cz/smlouva/37301857,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,více různých periodických částek (roční),přijato automaticky jako kategorie (D-031)
V048,P3,37307365,rocni_hodnota (P3),bez DPH –; s DPH –,–,https://smlouvy.gov.cz/smlouva/37307365,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,opakované plnění bez údaje o periodě a délce,přijato automaticky jako kategorie (D-031)
V049,P3,38035521,rocni_hodnota (P3),bez DPH –; s DPH 126248,–,https://smlouvy.gov.cz/smlouva/38035521,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,víceletá smlouva s cenou bez výslovné vazby na dobu trvání,přijato automaticky jako kategorie (D-031)
V050,P3,38322706,rocni_hodnota (P3),bez DPH 394400; s DPH –,–,https://smlouvy.gov.cz/smlouva/38322706,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,opakované plnění bez údaje o periodě a délce,přijato automaticky jako kategorie (D-031)
V051,P3,39276434,rocni_hodnota (P3),bez DPH 49150; s DPH 59472,–,https://smlouvy.gov.cz/smlouva/39276434,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,opakované plnění bez údaje o periodě a délce,přijato automaticky jako kategorie (D-031)
V052,P3,39329055,rocni_hodnota (P3),bez DPH –; s DPH 500000,–,https://smlouvy.gov.cz/smlouva/39329055,,NEJASNÉ – roční hodnotu nelze spolehlivě určit,víceletá smlouva s cenou bez výslovné vazby na dobu trvání,přijato automaticky jako kategorie (D-031)
